field,title,note
pcu,PCU,每日同时在线最大值
acu,ACU,每日同时在线均值
dau$active,DAU,在JJ斗地主全部或分端登录的每日独立用户数
dau$highly_active,DAU-高活跃,JJ斗地主全部或分端的DAU中，当日游戏时长大于等于30分钟的用户数
dau$vip3,DAU-VIP3及以上,JJ斗地主全部或分端的DAU中，VIP等级为VIP3及以上的用户数
dau$svip,DAU-超级会员,JJ斗地主全部或分端的DAU中，身份为超级会员的用户数
dau$pay100,DAU-近30日非兑奖充值100元以上,JJ斗地主全部或分端的DAU中，近30天非兑奖充值累计100元以上的用户数
g_avgtime$active,人均游戏时长(分钟),在JJ斗地主全部或分端登录的用户总游戏时长/在JJ斗地主全部或分端登录的独立用户数
g_avgtime$highly_active,人均游戏时长(分钟)-高活跃,当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的用户总游戏时长/当日游戏时长大于等于30min且在JJ斗地主全部或分端登录的独立用户数
g_avgtime$vip3,人均游戏时长(分钟)-VIP3及以上,VIP等级为VIP3及以上且在JJ斗地主全部或分端登录的用户总游戏时长/vip等级为VIP3及以上且在JJ斗地主全部或分端登录的独立用户数
g_avgtime$svip,人均游戏时长(分钟)-超级会员,为超级会员身份且在JJ斗地主全部或分端登录的用户总游戏时长/为超级会员身份且在JJ斗地主全部或分端登录的独立用户数
g_avgtime$pay100,人均游戏时长(分钟)-近30日非兑奖充值100元以上,近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的用户总游戏时长/近30日非兑奖充值累计100元以上且在JJ斗地主全部或分端登录的独立用户数
dnu$reg,注册用户数,在JJ斗地主全部或分端注册的去重用户数
dnu$recurring,回流用户数,在JJ斗地主全部或分端回流的去重用户数，回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App
dnu$reg_valid,有效注册用户数,注册日游戏时长大于等于2min且在JJ斗地主全部或分端注册的去重用户数
dnu$recurring_valid,有效回流用户数,回流日游戏时长大于等于2min且在JJ斗地主全部或分端回流的去重用户数，回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端，且本次登录发生在重新安装的App
g_avgtime$reg,注册用户-人均游戏时长(分钟),在JJ斗地主全部或分端注册用户的总游戏时长/在JJ斗地主全部或分端注册的去重用户数
g_avgtime$recurring,回流用户-人均游戏时长(分钟),在JJ斗地主全部或分端回流用户的总游戏时长/在JJ斗地主全部或分端回流的去重用户数，回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端且本次登录发生在重新安装的App
g_havefun_rate_dnu$reg,注册用户-游戏参与率,在JJ斗地主全部或分端注册且参与游戏的去重用户数/在JJ斗地主全部或分端注册的去重用户数
g_havefun_rate_dnu$recurring,回流用户-游戏参与率,在JJ斗地主全部或分端回流且参与游戏的去重用户数/在JJ斗地主全部或分端回流的去重用户数，回流判定条件为超过90天未登录棋牌所有App及H5端，或者超过30天未登录棋牌所有App及H5端，且本次登录发生在重新安装的App
dnu_notlianyun$reg,非联运渠道注册数,通过非联运渠道的新增注册用户
dnu_realname$reg,实名认证通过数,该统计日通过非联运渠道的新增注册用户中，通过实名认证的用户数
dnu_realname_rate$reg,实名通过率,该统计日通过非联运渠道的新增注册用户中，通过实名认证的比例。计算分母为通过非联运渠道新增注册用户数量，分子为通过实名认证的用户
